domain,article
https://theblacksphere.net,https://theblacksphere.net/2021/03/cuomo-caves-its-all-true/
https://rightwingtribune.com,https://rightwingtribune.com/2020/10/04/mcenany-acosta/
https://weaselzippers.us,https://www.weaselzippers.us/472364-racial-activists-ask-white-parents-to-pledge-not-to-send-children-to-ivy-league-schools-to-help-correct-historical-wrongs/#disqus_thread
https://redstate.com,https://redstate.com/bonchie/2021/07/27/the-press-go-wild-at-psaki-presser-and-show-the-authoritarianism-is-the-point-n417016
https://rightwingtribune.com,https://rightwingtribune.com/2020/12/26/watch-as-michelle-obama-degrades-the-office-of-1st-lady-w-attack-on-trump-in-coded-commencement-speech-taped-while-hiding-in-her-fortress-opinion/
https://theblaze.com,https://www.theblaze.com/shows/glenn-beck-podcast/yeonmi-park-escaping-from-north-korea
https://louderwithcrowder.com,https://www.louderwithcrowder.com/democrat-veteran-argues-america-is-not-superior
https://nytwatch.com,https://nytwatch.com/2020-12-30-full-list-of-traitor-media-outlets-sponsored-trips-communist-china.html
https://cdc.news,https://cdc.news/2021-07-14-who-blasts-ivermectin-not-enough-evidence-efficacy.html
https://thefreethoughtproject.com,https://thefreethoughtproject.com/officers-arrested-beating-man-with-gun/
https://hannity.com,https://hannity.com/media-room/that-was-fast-seattle-mayor-calls-for-more-police-one-year-after-vowing-to-defund-the-department/
https://thefreethoughtproject.com,https://thefreethoughtproject.com/standoff-man-opens-fire-police-tall-grass/
https://wnd.com,https://www.wnd.com/2021/07/study-european-abortion-laws-far-stricter-u-s/
https://healingoracle.ch,https://healingoracle.ch/2021/07/21/instant-pot-ginger-applesauce-recipe/
https://thefederalist.com,https://thefederalist.com/2021/07/28/why-anthony-faucis-next-heroic-crusade-needs-to-be-against-lightning/
https://unz.com,https://unz.com/proberts/how-the-covid-pandemic-was-orchestrated/
https://breitbart.com,https://www.breitbart.com/sports/2021/07/27/rick-dennison-agrees-to-new-role-vikings-despite-refusing-vaccine/
https://nationalfile.com,https://nationalfile.com/morgan-stanley-bans-straight-white-males-from-applying-for-college-summer-program/
https://foxnews.com,https://www.foxnews.com/opinion/pelosi-jan-6-committee-charade-role-gregg-jarrett
https://thenationalpulse.com,https://thenationalpulse.com/analysis/the-weird-history-of-ufo-cults-and-how-its-only-going-to-get-worse/
https://edition.cnn.com,https://edition.cnn.com/2021/08/14/europe/bbc-reporter-sarah-rainsford-russia-visa-intl/index.html
https://www.nytimes.com,https://www.nytimes.com/2021/08/13/opinion/us-dirty-work.html
https://www.theguardian.com,https://www.theguardian.com/politics/2021/aug/13/labour-values-are-meaningless-without-policies
https://www.theguardian.com,https://www.theguardian.com/world/2021/aug/16/gordon-brown-hits-out-at-eu-neocolonial-approach-to-covid-vaccine-supplies
https://www.bbc.co.uk,https://www.bbc.co.uk/news/uk-58228190
https://www.bbc.co.uk,https://www.bbc.co.uk/news/uk-wales-58203740
https://www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9897283/Ben-Wallace-says-sending-UK-troops-Afghanistan-not-cards.html
https://www.dailymail.co.uk,https://www.dailymail.co.uk/news/article-9897939/Republicans-remove-page-praising-Donald-Trumps-historic-Taliban-peace-deal.html
https://www.independent.co.uk,https://www.independent.co.uk/news/uk/home-news/racism-policing-home-affairs-committee-b1893324.html
https://www.bbc.co.uk,https://www.bbc.co.uk/news/world-asia-china-58196663
http://elliott.org,http://elliott.org/case-dismissed-2/why-you-should-not-purchase-two-one-way-tickets-to-save-money/
https://www.theatlantic.com,https://www.theatlantic.com/international/archive/2015/09/isis-flag-apocalypse/406498/
http://www.liftable.com,http://www.liftable.com/carolynfultz/elderly-man-tears-accident-kroger-locks-eyes-knows-needs-help/
https://hubpages.com,https://hubpages.com/politics/High-Level-Law-Enforcement-Official-Charged-With-Child-Porn-Record-Arrests-Under-Trump
http://www.thedailybeast.com,http://www.thedailybeast.com/articles/2016/10/11/when-powerful-men-play-the-victim.html
http://www.zerohedge.com,http://www.zerohedge.com/news/2017-12-26/trump-slams-crooked-hillary-pile-garbage-funded-bogus-dossier?page=2
